store,week,unibranddff,upc,descripdff,size,reprice,resales,move,sale,prom,whprice,qty
107,372,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,31.35,11,,0,2.1001649,1
137,306,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.96,62.16,21,,0,1.480592,1
51,281,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6900001,18.83,7,,0,1.332088,1
115,308,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,19.950001,7,,0,1.460055,1
8,294,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.3099999,53.130001,23,B,1,1.401477,1
84,341,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.22,34.16,28,,0,1.430938,1
124,300,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.3699999,49.77,21,,0,1.752378,1
21,303,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.89,102.06,54,B,1,1.6998661,1
67,346,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.87,13.09,7,S,1,1.7548079,1
88,351,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.5,52.5,21,B,1,1.949,1
62,365,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8199999,19.74,7,B,1,2.07693,1
51,380,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,14.45,5,,0,1.988031,1
71,375,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6900001,10.76,4,,0,1.912859,1
62,379,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,3.05,18.299999,6,,0,2.048075,1
90,285,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.1500001,32.25,15,,0,1.56004,1
9,393,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,43.349998,15,,0,2.0900481,1
83,286,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.72,25.799999,15,B,1,1.555912,1
51,377,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6900001,13.45,5,,0,1.6764081,1
103,298,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.5,1770,1180,,0,0.97184998,1
21,389,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,5.7800002,2,,0,2.0990069,1
51,285,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.1900001,45.990002,21,,0,1.560156,1
107,309,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6900001,34.970001,13,,0,1.460132,1
47,298,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.5,1519.5,1013,S,1,0.97275001,1
131,319,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,11.4,4,,0,1.587165,1
133,307,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,22.799999,8,,0,1.4617651,1
91,316,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,17.1,6,,0,1.587165,1
95,372,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,17.940001,6,,0,2.1001761,1
62,378,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,3.05,15.25,5,,0,2.10023,1
123,363,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.99,65.669998,33,B,1,1.6920969,1
88,315,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.5,210,84,S,1,1.46,1
88,345,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.99,13.93,7,B,1,1.760155,1
21,387,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,5.7800002,2,,0,2.0990069,1
88,339,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,11.4,4,,0,1.5600899,1
62,377,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6400001,36.959999,14,,0,1.623072,1
88,328,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,8.5500002,3,,0,1.5022351,1
83,320,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,8.5500002,3,,0,1.587165,1
124,298,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.5,1252.5,835,S,1,0.97245002,1
94,294,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.3900001,38.240002,16,B,1,1.404125,1
54,382,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,28.9,10,,0,1.928208,1
121,385,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,8.6700001,3,,0,2.0990069,1
48,341,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.3699999,14.22,6,,0,1.558038,1
8,285,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.1900001,26.280001,12,,0,1.560156,1
73,368,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.77,19.389999,7,B,1,1.895234,1
44,333,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,11.4,4,,0,1.6940399,1
71,352,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.5,25,10,B,1,1.949,1
130,381,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,3.05,3.05,1,,0,1.92821,1
67,299,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,2.8499999,1,,0,1.7530349,1
71,355,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.5700001,75.360001,48,B,1,1.896089,1
